           R               Z        optimized_a            E_exact              E_itp             E_diff
0.1000000000000000 0.5110263035894820 0.0686555107047820 -1.9782420999999999 -1.9782421000000112 0.0000000000000113
0.2000000000000000 0.5189924654419273 0.0755593504512517 -1.9286201999999999 -1.9286202000007759 0.0000000000007760
0.3000000000000000 0.5267051955449793 0.0835333280063672 -1.8667039000000001 -1.8667039000001198 0.0000000000001197
0.4000000000000000 0.5341705363178277 0.0922874085226889 -1.8007538999999999 -1.8007539000007149 0.0000000000007150
0.5000000000000000 0.5413944015375802 0.1016560508513474 -1.7349878999999999 -1.7349878999986434 -0.0000000000013565
0.6000000000000001 0.5483825789209029 0.1114942032359958 -1.6714846000000001 -1.6714845999954593 -0.0000000000045408
0.7000000000000001 0.5551407326556437 0.1217203066421982 -1.6111962000000000 -1.6111962000006741 0.0000000000006741
0.8000000000000000 0.5616744058833847 0.1323029356218209 -1.5544800999999999 -1.5544800999976212 -0.0000000000023788
0.9000000000000001 0.5679890231338576 0.1432125996668547 -1.5013814999999999 -1.5013814999961392 -0.0000000000038607
1.0000000000000000 0.5740898927121301 0.1544118915605625 -1.4517863000000000 -1.4517862999972275 -0.0000000000027724
1.1000000000000001 0.5799822090394589 0.1658698686171798 -1.4055027000000000 -1.4055026999965805 -0.0000000000034195
1.2000000000000002 0.5856710549486914 0.1775624172626259 -1.3623078000000000 -1.3623078000000604 0.0000000000000604
1.3000000000000000 0.5911614039350761 0.1894640429584054 -1.3219714000000000 -1.3219714000038867 0.0000000000038867
1.4000000000000001 0.5964581223633261 0.2015461358617740 -1.2842692000000000 -1.2842691999964133 -0.0000000000035867
1.5000000000000002 0.6015659716317683 0.2137799466358808 -1.2489899000000000 -1.2489899000014391 0.0000000000014391
1.6000000000000001 0.6064896102943920 0.2261376759722219 -1.2159371999999999 -1.2159371999991022 -0.0000000000008977
1.7000000000000002 0.6112335961415991 0.2385903647311684 -1.1849316000000001 -1.1849315999999459 -0.0000000000000542
1.8000000000000000 0.6158023882404335 0.2511082332630800 -1.1558092000000000 -1.1558092000051339 0.0000000000051339
1.9000000000000001 0.6202003489350696 0.2636610879394192 -1.1284216000000000 -1.1284215999912082 -0.0000000000087919
2.0000000000000000 0.6244317458083071 0.2762191008336379 -1.1026342000000000 -1.1026341999985541 -0.0000000000014460
2.1000000000000001 0.6285007536048166 0.2887522875646533 -1.0783254000000000 -1.0783254000032174 0.0000000000032174
2.1999999999999997 0.6324114561168643 0.3012308395143724 -1.0553851000000001 -1.0553851000016452 0.0000000000016451
2.2999999999999998 0.6361678480332307 0.3136255895394092 -1.0337135000000000 -1.0337134999883453 -0.0000000000116547
2.3999999999999999 0.6397738367520172 0.3259079801976890 -1.0132203000000000 -1.0132202999932447 -0.0000000000067553
2.5000000000000000 0.6432332441580393 0.3380503906395378 -0.9938235000000000 -0.9938235000112529 0.0000000000112529
2.6000000000000001 0.6465498083654695 0.3500261998923491 -0.9754486000000000 -0.9754486000011975 0.0000000000011975
